des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_km,is_potentially_hazardous
2009 HK73,13,2454949.03798591,2009-Apr-27 12:55,0.0031470261961794,0.0031429191391308,0.0031511329529088,7.56381128966448,7.45103413614743,< 00:01,26.3,0.0146067964,0.0326617897,27357629.573721904,False
2009 JR,25,2454949.228370033,2009-Apr-27 17:29,0.0470800114171913,0.0470792421064749,0.0470807807280387,12.3981480711752,12.3935824597092,< 00:01,21.4,0.1394938229,0.3119176705,7567698.743093966,True
2009 HJ36,7,2454950.351451402,2009-Apr-28 20:26,0.0246358412595043,0.0241971393872194,0.0250746116613663,6.1053795763426,6.08763916383005,00:03,27.9,0.0069912523,0.0156329154,3685469.384138031,False
2009 JM1,13,2454950.934087046,2009-Apr-29 10:25,0.0416479785858623,0.0415842191082198,0.0417117379601623,15.7898162327121,15.7857639747386,< 00:01,23.2,0.0608912622,0.1361570015,11700843.17899822,False
2009 JS,7,2454951.764795713,2009-Apr-30 06:21,0.0084586160289864,0.0081831500155418,0.0087339805229195,9.40833725007534,9.37479632824871,00:47,25.7,0.0192555078,0.0430566244,68440100.4267317,False
2009 HG21,9,2454953.632863991,2009-May-02 03:11,0.0435335415552969,0.0430218962188366,0.0440451718358538,9.98894557746281,9.98281640316913,00:04,25.0,0.02658,0.0594346868,24166558.12682168,False
2023 GR1,6,2454954.685052357,2009-May-03 04:26,0.0189737935193299,0.0186660452714823,0.0281683005825882,8.0402346109115,8.02274975951462,4_12:38,25.35,0.0226232491,0.0505871228,20779862.945805565,False
2009 JA,10,2454955.886526304,2009-May-04 09:17,0.019497606616311,0.0194469524879679,0.0195482597305333,8.43326713233559,8.4170470503241,< 00:01,25.5,0.0211132445,0.0472106499,71849177.40883192,False
2009 JF1,8,2454957.318554181,2009-May-05 19:39,0.0019558342936136,0.001954705343617,0.0019569632380585,24.0083911840386,23.9515803219917,< 00:01,27.76,0.0074568426,0.016674007,12774768.84338136,False
2022 EN2,8,2454960.17836666,2009-May-08 16:17,0.0498763499407024,0.0389378276575357,0.0632400210503787,7.06994968032569,7.06238947417685,3_22:41,24.98,0.0268259417,0.0599846292,13896288.995306063,False
2009 KY1,18,2454960.193078473,2009-May-08 16:38,0.039283080230223,0.03924718155691,0.0393189787123255,6.86678590644855,6.85690114910811,< 00:01,23.7,0.0483676488,0.1081533507,24863071.837100625,False
2009 JE1,7,2454960.817550532,2009-May-09 07:37,0.0155638340785626,0.0,0.0332832872344261,7.91493246889591,7.89327323048204,1_16:14,26.91,0.0110294785,0.0246626636,2328316.430393367,False
2009 KD3,10,2454964.715979157,2009-May-13 05:11,0.0405883853668837,0.0399206685444866,0.0412560949474199,19.0574958302999,19.0540508717325,00:08,21.4,0.1394938229,0.3119176705,6071936.002579098,True
2009 JL2,8,2454965.397203415,2009-May-13 21:32,0.0017735314976063,0.0017705273974284,0.0017765354092458,12.9238809204732,12.8071066962368,< 00:01,26.0,0.0167708462,0.0375007522,265316.534777905,False
2009 KL,13,2454965.588310061,2009-May-14 02:07,0.0405925451780874,0.0403187578517546,0.0408663304303734,15.2384730309676,15.2341649285646,< 00:01,23.81,0.0459785188,0.1028110936,52631536.10216809,False
612267,47,2454969.500681275,2009-May-18 00:01,0.0234833134222427,0.0234831736698484,0.0234834531746371,10.4001248811133,10.389209412248,< 00:01,20.91,,,,
2009 KR4,10,2454969.758869146,2009-May-18 06:13,0.0259618310355288,0.0256178943849617,0.0263057246162234,6.58767955878928,6.57208191435791,00:01,25.0,0.02658,0.0594346868,65861147.096629284,False
2009 JG2,16,2454971.404300426,2009-May-19 21:42,0.0297887168126296,0.029673743373487,0.0299036897523881,17.8306451122991,17.8256279909068,< 00:01,22.6,0.0802703167,0.1794898848,70129837.9438806,False
2011 UD21,15,2454971.820405941,2009-May-20 07:41,0.0164368590456247,0.016339324343538,0.0165343982936059,1.87288670414086,1.78423562343541,01:25,28.5,0.0053034072,0.0118587791,952848.164545242,False
2009 KW2,11,2454976.444171377,2009-May-24 22:40,0.0034353890761159,0.0034348554479067,0.0034359226920987,4.82884255015179,4.66546088628965,< 00:01,26.6,0.0127219879,0.0284472297,33703252.560699016,False
2009 LD,10,2454978.315279456,2009-May-26 19:34,0.0098112059453134,0.0097603760737933,0.0098620280612387,6.31934306149679,6.27622071855453,00:06,26.2,0.0152951935,0.0342010925,48963710.245938495,False
2022 KK5,16,2454980.18398205,2009-May-28 16:25,0.0063914464546627,0.000645094673907,0.0184356070891742,8.88848860705935,8.84146286572799,2_20:38,25.11,0.0252670754,0.0564988982,857495.155397657,False
2009 LA,10,2454980.893993286,2009-May-29 09:27,0.007336584086721,0.0072869550179179,0.0073862088162716,10.5142568467711,10.4796585268007,00:01,26.3,0.0146067964,0.0326617897,55414661.69731096,False
2014 MF18,12,2454981.696906245,2009-May-30 04:44,0.0311614750784594,0.0311610447356469,0.0311619054246232,3.41093697408603,3.38577611836387,< 00:01,26.11,0.0159424468,0.0356483948,36083230.71560393,False
2009 KR21,8,2454983.921645722,2009-Jun-01 10:07,0.0018956374595905,0.0018608291186564,0.001930430460354,12.978536280977,12.8697798835254,00:02,26.7,0.0121494041,0.0271668934,159871.249405871,False
2009 KL8,10,2454984.141668383,2009-Jun-01 15:24,0.0131216675198721,0.0130682917165051,0.0131750419411943,11.3211066630579,11.303156066438,< 00:01,24.3,0.0366906138,0.0820427065,1962973.508848225,False
136617,172,2454992.766239475,2009-Jun-10 06:23,0.0168371449155996,0.0168371385350165,0.0168371512962009,8.38713633632162,8.36824687654605,< 00:01,17.97,,,,
2009 MN8,23,2454993.408093616,2009-Jun-10 21:48,0.0272380516924097,0.0272271008347487,0.0272490025293605,7.67197879319589,7.65921762993496,00:04,22.7,0.0766575574,0.1714115092,267008284.28168687,False
2009 LE,13,2454995.16413832,2009-Jun-12 15:56,0.0193189193644341,0.0192196079559894,0.0194182289105653,12.2952328643272,12.2840103280976,< 00:01,23.6,0.0506471459,0.1132504611,4269117.05158295,False
2018 MR5,17,2454996.771465516,2009-Jun-14 06:31,0.0464258984904672,0.0464253837750472,0.046426413320502,21.4138714646606,21.4111911608225,< 00:01,21.07,0.1623883902,0.3631114793,40713770.67102591,True
2009 MG1,10,2454997.204586872,2009-Jun-14 16:55,0.0403268136081821,0.0397943992021819,0.0408592224645061,17.5665451347037,17.5627834828818,< 00:01,24.0,0.0421264611,0.0941976306,6032805.418447032,False
2009 KV21,10,2454997.728359275,2009-Jun-15 05:29,0.0367797314283413,0.0359574845168222,0.0376019338661758,10.951441682446,10.9448246428707,< 00:01,24.63,0.0315177333,0.0704757942,5502169.476612118,False
2023 HL,11,2454998.726028347,2009-Jun-16 05:25,0.0144922110812692,0.0139352751978152,0.0150560901274196,0.908138927342139,0.676021003559542,04:30,26.95,0.0108281678,0.0242125192,6347568.297839445,False
2000 AH205,25,2454999.939154622,2009-Jun-17 10:32,0.0261545057663651,0.0261476738723148,0.0261613384632916,13.0803946614163,13.0726039997674,< 00:01,22.6,0.0802703167,0.1794898848,26285617.310975425,False
2022 LA3,4,2455002.127003921,2009-Jun-19 15:03,0.0355359146775226,0.0199989201750438,0.0609375444628163,7.69532879439766,7.68557905777882,1_17:50,26.0,0.0167708462,0.0375007522,53516128.15911544,False
418849,83,2455004.746473889,2009-Jun-22 05:55,0.0447979356696998,0.0447978646796888,0.0447980066655779,17.5999435221431,17.5965637705448,< 00:01,20.47,,,,
