des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_km,is_potentially_hazardous
2007 EK,12,2454172.72918233,2007-Mar-13 05:30,0.0017662304993719,0.0017640730592309,0.0017683877305617,8.55454102665946,8.37633783828098,< 00:01,29.3,0.0036690614,0.0082042706,69524246.36327687,False
2007 FS3,7,2454175.17074725,2007-Mar-15 16:06,0.0059366852543301,0.0058635757994231,0.0060097976954368,8.24096821898299,8.18632549946869,00:50,26.1,0.0160160338,0.0358129403,49081262.36725133,False
2007 FP3,7,2454175.444888813,2007-Mar-15 22:41,0.0087397419486587,0.0085538117585285,0.0089256645504631,9.92283824121646,9.89206652253594,00:56,28.4,0.0055533491,0.0124176661,10604326.1418749,False
2007 EV,15,2454176.318686935,2007-Mar-16 19:39,0.012094555163006,0.0120564461219304,0.012132663211972,10.3270767498089,10.3057220087091,< 00:01,25.0,0.02658,0.0594346868,64819425.88931359,False
2012 EQ10,9,2454178.307367417,2007-Mar-18 19:23,0.0360656427323037,0.0225744614581905,0.0997856861921528,8.36088062326501,8.35203972622555,7_11:36,25.9,0.0175612318,0.0392681082,3948573.575855654,False
2007 EO88,12,2454178.336470534,2007-Mar-18 20:05,0.0032251297482794,0.0032234515487743,0.0032268079238265,10.9729868077057,10.8974361971617,< 00:01,26.4,0.0139493823,0.0311917671,502006.440026646,False
2007 EH26,10,2454178.372934082,2007-Mar-18 20:57,0.0334063614777635,0.0330529399131295,0.0337597803718024,21.071313650175,21.0675280862676,< 00:01,24.2,0.0384197891,0.0859092601,4997520.524850005,False
2007 EY25,12,2454178.494564181,2007-Mar-18 23:52,0.0205812174923715,0.0204081111395648,0.0207543211260587,16.6361551054828,16.628371336368,< 00:01,25.1,0.0253837029,0.0567596853,3078906.300006725,False
2007 FC3,9,2454180.143762548,2007-Mar-20 15:27,0.0088518281908569,0.0088393658351192,0.0088642904582131,15.460358596871,15.4408765969591,< 00:01,25.5,0.0211132445,0.0472106499,56807198.3770161,False
2007 FG1,10,2454180.879711352,2007-Mar-21 09:07,0.0250940169933724,0.0249849853793024,0.0252030454868535,8.0430493189118,8.02983702302428,< 00:01,24.6,0.0319561887,0.0714562102,3754011.49294379,False
2014 FO38,16,2454184.734612462,2007-Mar-25 05:38,0.0336823160764858,0.0336819773170392,0.0336826548362464,9.68899695445278,9.68082897403922,< 00:01,26.35,0.0142743051,0.0319183166,69145783.8581306,False
2006 RH120,53,2454185.022225393,2007-Mar-25 12:32,0.0023626976727861,0.0023626724387721,0.0023627229068065,1.36605006382377,,< 00:01,29.5,0.0033462237,0.0074823838,6420378.299238221,False
2007 FR3,7,2454185.389511238,2007-Mar-25 21:21,0.0084558173963795,0.008380461568275,0.0085311442858932,10.4140190685831,10.3837171105875,02:32,27.5,0.008405334,0.0187948982,1264972.272148938,False
2007 EG88,8,2454185.553057347,2007-Mar-26 01:16,0.0193331631034575,0.0192038361446037,0.0194624741219967,5.38339325370724,5.35773130191028,< 00:01,26.9,0.0110803882,0.0247765013,54362086.23701997,False
2020 KT,5,2454186.010354317,2007-Mar-26 12:15,0.0247271176798233,0.0245904597410564,0.164600770509729,9.95503532481386,9.9442052276059,4_22:31,24.0,0.0421264611,0.0941976306,3699124.139159299,False
2007 EN26,15,2454190.140807759,2007-Mar-30 15:23,0.0370340583643153,0.0368708817241597,0.0371972337656703,12.9130472879764,12.9074744549329,< 00:01,22.5,0.0840533402,0.1879489824,68261912.27948496,False
1994 GL,22,2454190.446163337,2007-Mar-30 22:42,0.024300957726293,0.0242976412151733,0.0243042746611514,9.29482396003904,9.28302011093115,00:02,25.5,0.0211132445,0.0472106499,14407098.895987535,False
374851,170,2454190.742474525,2007-Mar-31 05:49,0.0226407501778837,0.0226407051795101,0.0226407951762572,16.9562967124036,16.9493547949376,< 00:01,16.72,,,,
2007 GU4,18,2454192.551844321,2007-Apr-02 01:15,0.0283007128086832,0.0283005380760045,0.0283008875418719,13.4711169186063,13.4641261636544,< 00:01,22.65,0.0784431412,0.1754041962,37207818.3568932,False
2007 FY20,24,2454193.452403339,2007-Apr-02 22:51,0.0136406897327305,0.0136395405075566,0.0136418389584943,9.34350231440394,9.3225730962061,< 00:01,25.0,0.02658,0.0594346868,16801329.25492714,False
2007 GY1,14,2454193.753634245,2007-Apr-03 06:05,0.0306131776070244,0.030409224615029,0.030817128586383,15.0831383485545,15.0773667604344,00:02,22.6,0.0802703167,0.1794898848,4579666.162891712,False
2009 HE60,8,2454196.204607666,2007-Apr-05 16:55,0.0244444507543249,0.0149002263599245,0.0433418302996625,6.92261881565563,6.90685517932768,09:42,25.69,0.0193443872,0.0432553648,69250349.73242384,False
2007 GX5,10,2454199.870738043,2007-Apr-09 08:54,0.0214633246183591,0.0212026986523078,0.0217239442187438,15.6191785944136,15.6112285837368,00:02,24.3,0.0366906138,0.0820427065,3210867.643278602,False
2011 GK44,11,2454203.234690863,2007-Apr-12 17:38,0.0401522514030244,0.0329194687908597,0.0488085474069691,8.84155301161844,8.83404442234392,13:46,25.6,0.0201629919,0.0450858206,15054167.817469817,False
2007 HD15,14,2454204.014340382,2007-Apr-13 12:21,0.0121196212943661,0.0121025105753203,0.0121367318197033,9.8439043645475,9.8215455168902,00:02,24.16,0.0391340663,0.0875064325,48355036.11146469,False
2007 HP,14,2454204.275093629,2007-Apr-13 18:36,0.0138025000352194,0.0136598865596052,0.0139451113931467,23.3638746742275,23.355610745844,00:02,22.9,0.0699125232,0.1563291544,2064824.600675,False
2007 DS84,55,2454204.719544054,2007-Apr-14 05:16,0.0412442789512089,0.0412441781859119,0.0412443797165552,7.4931984539604,7.48457201673891,< 00:01,20.8,0.1838886721,0.411187571,7007547.306065709,True
2007 GU1,14,2454206.526252766,2007-Apr-16 00:38,0.0054061644893516,0.005390574311683,0.0054217543600561,16.9359950511769,16.9068687060442,< 00:01,24.99,0.0267026877,0.0597090249,808750.694069615,False
2007 HL4,10,2454207.575910696,2007-Apr-17 01:49,0.0424369145723499,0.0424364485884817,0.0424373805567344,3.48168256993569,3.46360215064154,< 00:01,24.1,0.040230458,0.0899580388,30495890.608865783,False
2007 HA,43,2454207.911145141,2007-Apr-17 09:52,0.0166093958225101,0.0166093259828045,0.0166094656622175,20.585991538541,20.5781973850389,< 00:01,20.38,0.2231284644,0.4989304142,58333723.60072948,True
2018 CH,5,2454210.856016494,2007-Apr-20 08:33,0.0302678129397134,0.0283044759651973,0.0642511454132577,10.9542072848265,10.9461681418734,19:08,26.4,0.0139493823,0.0311917671,1138037.97082118,False
2007 HV4,11,2454213.179547588,2007-Apr-22 16:19,0.0037054926002997,0.0036991360012291,0.0037118487760129,8.68916567823097,8.60601394131775,< 00:01,28.7,0.0048367649,0.0108153351,60701569.2486991,False
2007 HB15,10,2454215.35566574,2007-Apr-24 20:32,0.0014697149181567,0.0014690042589825,0.0014704255267926,6.64477237903746,6.36609415896018,< 00:01,27.7,0.0076657557,0.0171411509,42348765.046737,False
2004 HZ,20,2454216.198480047,2007-Apr-25 16:46,0.0302986515777554,0.0302984496421261,0.030298853515119,14.2110287885265,14.2048392520847,< 00:01,22.6,0.0802703167,0.1794898848,10874418.558732983,False
489486,123,2454216.535607676,2007-Apr-26 00:51,0.0323866877754068,0.0323864876864564,0.0323868878649684,8.62154383216002,8.61199607589496,< 00:01,19.4,,,,
2007 HC,11,2454216.685414926,2007-Apr-26 04:27,0.0124207120935223,0.0123859106857685,0.0124555110130798,5.74817943808844,5.71073802198669,< 00:01,25.2,0.0242412481,0.0542050786,29794786.38322738,False
2007 GQ3,33,2454224.629231457,2007-May-04 03:06,0.0327949295644316,0.0327944691641693,0.0327953899647108,8.97519685948343,8.96613993281855,< 00:01,22.04,0.1038855101,0.2322950625,16874654.067475945,True
2024 HL2,7,2454225.078993667,2007-May-04 13:54,0.0264398631695176,0.0046552000084419,0.135609383473093,14.7221107979028,14.7152640541995,5_15:09,25.74,0.0189040552,0.0422707525,43190421.84180393,False
2019 VR,3,2454225.112013668,2007-May-04 14:41,0.0132830829426016,0.0108611338566191,0.0205476877386267,9.46303111166415,9.44180988720504,12:26,28.1,0.0063760979,0.0142573883,1155549.433729983,False
2007 JB21,11,2454229.502871779,2007-May-09 00:04,0.0041559253967034,0.004125850550179,0.004185992439932,7.42023294292474,7.3333213015709,00:01,25.4,0.022108281,0.0494356193,406038.763150805,False
2007 JD,10,2454231.894300962,2007-May-11 09:28,0.030128660304954,0.0299461786390553,0.0303111413441225,24.9594947445912,24.9559512842582,< 00:01,23.1,0.063760979,0.1425738833,4507183.406833561,False
2007 KV2,11,2454234.442271633,2007-May-13 22:37,0.0168282349583319,0.0167063635957036,0.0169501021200478,11.4110616810933,11.3971777636758,00:02,24.6,0.0319561887,0.0714562102,31670983.044579167,False
2007 JZ2,8,2454235.349363674,2007-May-14 20:23,0.0181192348680997,0.0175326498678276,0.0187057597326566,13.6069701211776,13.5961586787451,< 00:01,25.9,0.0175612318,0.0392681082,2710598.947069663,False
2021 VT6,21,2454244.282750887,2007-May-23 18:47,0.0304658439967852,0.026439015320748,0.0351308607514611,6.23823514130375,6.22419969464188,09:22,24.29,0.0368599699,0.0824213984,22382137.08091302,False
2007 LT,20,2454247.191707131,2007-May-26 16:36,0.0259142031788604,0.0259133871320999,0.0259150192256445,7.23436805831804,7.22014145790203,< 00:01,22.6,0.0802703167,0.1794898848,25435806.39976819,False
2007 KF7,7,2454247.307711213,2007-May-26 19:23,0.0424089181317156,0.0421785096965182,0.042639323356277,8.16189761864772,8.15419623135218,00:07,24.9,0.0278326768,0.0622357573,6344283.816764447,False
2007 KE4,10,2454248.464430877,2007-May-27 23:09,0.0181212647072107,0.0179735761615128,0.0182689459404663,9.676717575846,9.66151079933297,< 00:01,25.2,0.0242412481,0.0542050786,2710902.600826189,False
2007 LU,11,2454254.126076543,2007-Jun-02 15:02,0.0178363554722652,0.0178254354456513,0.0178472754235926,7.38930752151737,7.36906345243792,< 00:01,23.54,0.0520660914,0.1164233197,49858594.08282973,False
2016 LC9,5,2454256.967867692,2007-Jun-05 11:14,0.0162107118890564,0.0124463919185162,0.0210612054446164,3.6859156687438,3.64104979593906,1_03:40,27.0,0.0105816886,0.023661375,72205914.2641117,False
2022 VR1,10,2454260.115925911,2007-Jun-08 14:47,0.0272991082554153,0.0272974465591551,0.0273007708248481,5.33177705773478,5.31343958896047,< 00:01,24.79,0.0292789148,0.0654696439,27571405.64802168,False
2008 LC2,8,2454262.792836666,2007-Jun-11 07:02,0.0449473420165049,0.0199178929925654,0.207541680364857,19.9259386922866,19.9229634524728,5_13:48,24.25,0.0375452479,0.0839537266,6724026.62536154,False
2006 RH120,53,2454265.729783144,2007-Jun-14 05:31,0.0018505549230351,0.0018505443468574,0.0018505654992236,1.5705197838743,,< 00:01,29.5,0.0033462237,0.0074823838,6420378.299238221,False
2007 MF,8,2454269.06539108,2007-Jun-17 13:34,0.0171474137214528,0.0171169124359449,0.0171779145747602,8.84798130348778,8.83040201960062,< 00:01,26.2,0.0152951935,0.0342010925,70619748.94732414,False
2007 LT19,12,2454269.661943737,2007-Jun-18 03:53,0.0214353982227318,0.021395705754194,0.0214750895671781,5.6341541964629,5.61204846495238,< 00:01,25.3,0.0231502122,0.0517654482,39617806.62242904,False
2007 MQ,11,2454272.601505205,2007-Jun-21 02:26,0.018020482507415,0.0178502243115402,0.0181907384273674,20.4806445995179,20.4734239064481,< 00:01,23.6,0.0506471459,0.1132504611,2695825.798372275,False
2007 MJ13,7,2454274.25511145,2007-Jun-22 18:07,0.0140130403220709,0.0138715127262311,0.0141545582886961,10.6529270952931,10.6350632348796,< 00:01,24.6,0.0319561887,0.0714562102,2096320.981104161,False
367248,55,2454274.494098206,2007-Jun-22 23:52,0.0498945369117232,0.0498941706446837,0.049894903178791,11.5994452835164,11.5948405091756,< 00:01,20.21,,,,
2007 LW19,9,2454277.966845254,2007-Jun-26 11:12,0.0197463579974583,0.0196152946292438,0.019877415749741,9.14244641455205,9.12767527823892,< 00:01,23.5,0.0530340723,0.1185877909,2954013.09705746,False
2019 GA,14,2454280.481210191,2007-Jun-28 23:33,0.0247872052086114,0.0247830511899799,0.0247913602119336,15.8313644991517,15.8245730944781,< 00:01,23.59,0.0508809225,0.1137732014,12427599.699394872,False
2010 AE30,21,2454285.818529586,2007-Jul-04 07:39,0.0246301417370208,0.0246298134148646,0.0246304700596502,11.8391198124273,11.829978812149,< 00:01,23.6,0.0506471459,0.1132504611,25988861.10832088,False
2007 MB4,23,2454286.125279301,2007-Jul-04 15:00,0.0194945150054065,0.0194944031378554,0.0194946268729598,11.0216084355614,11.0092005016001,< 00:01,22.68,0.077366861,0.1729975604,10687383.58240889,False
2020 NB,5,2454289.484113789,2007-Jul-07 23:37,0.0170065234549972,0.0049738633699479,0.0290563522026753,8.1376749445238,8.11839920102045,20:53,26.18,0.0154367182,0.0345175513,51222062.95392728,False
2016 NJ22,4,2454289.704199905,2007-Jul-08 04:54,0.0082104317225779,0.0051844342850785,0.0112723780651181,6.9691306430406,6.92240815058901,00:48,28.4,0.0055533491,0.0124176661,52990942.531438015,False
2007 OH3,15,2454301.586477869,2007-Jul-20 02:05,0.0340580517725244,0.0340067683571641,0.0341093347525282,7.46659798666539,7.45611283231327,< 00:01,24.4,0.0350392641,0.0783501764,5095012.005629666,False
2020 UA3,10,2454303.545463707,2007-Jul-22 01:05,0.0126576691901491,0.0112581227281442,0.0167068907461595,6.51620814632673,6.48382312298448,05:28,26.7,0.0121494041,0.0271668934,43469136.09254287,False
2020 HL6,12,2454307.984942064,2007-Jul-26 11:38,0.0029341058500349,0.0012900177305093,0.0198643405773857,5.26852061164308,5.09324035280441,5_10:44,27.8,0.0073207399,0.016369672,438935.992994433,False
2007 DT103,78,2454311.088085346,2007-Jul-29 14:07,0.0238030921103514,0.0238030302088737,0.023803154011829,10.745666459942,10.735244334797,< 00:01,19.7,0.3051792326,0.6824015094,15766939.330587387,True
2002 CB19,15,2454321.271958897,2007-Aug-08 18:32,0.0425528446396406,0.0425250402479973,0.0425806494586631,16.7896687015465,16.7859388643602,00:01,25.16,0.0246919266,0.0552128263,55057462.98852713,False
2007 PF2,10,2454323.296453639,2007-Aug-10 19:07,0.0101789803412263,0.0101549126924857,0.0102030478142396,18.4663591231991,18.4521785565202,< 00:01,24.4,0.0350392641,0.0783501764,18523256.763029452,False
2022 OC10,1,2454324.754441226,2007-Aug-12 06:06,0.0463316244942576,0.0256209192764475,0.0740875911559091,6.91055265195526,6.90222574368724,1_09:35,26.98,0.0106795998,0.023880311,6931112.338839815,False
2007 PS25,11,2454327.321355659,2007-Aug-14 19:43,0.016957257162919,0.0168898590116633,0.0170246526732081,7.99608421699042,7.97640924934357,< 00:01,25.5,0.0211132445,0.0472106499,7704823.561567402,False
2005 CN61,11,2454329.068295779,2007-Aug-16 13:38,0.0484037405035195,0.0482172515854372,0.0486952397951846,5.32295381049453,5.31260231196298,08:39,25.3,0.0231502122,0.0517654482,67642628.85854797,False
2023 LA1,6,2454331.08383627,2007-Aug-18 14:01,0.0383741098839959,0.0369884106918243,0.0412427029869578,4.00179550781359,3.98440694364929,1_13:44,28.87,0.0044725477,0.0100009206,34196277.11469129,False
2023 BY9,20,2454336.395264588,2007-Aug-23 21:29,0.026855554393091,0.0264200514755559,0.0382511376815623,22.5051466646767,22.5007376765372,16:21,21.03,0.1654074158,0.3698622257,67159520.1001729,True
2007 RO1,11,2454343.949081733,2007-Aug-31 10:47,0.0392059131594028,0.0391287621158398,0.0392830640147561,14.6284132090867,14.6237666384463,< 00:01,23.5,0.0530340723,0.1185877909,5865121.106124884,False
2007 RT17,9,2454345.032574799,2007-Sep-01 12:47,0.0374865255927317,0.0357448970505308,0.0392281051362148,10.111359202353,10.1043272054568,03:53,25.6,0.0201629919,0.0450858206,5607904.383460472,False
2011 EW73,9,2454345.390654508,2007-Sep-01 21:23,0.0036784336856366,0.0036448023560054,0.159598444575555,16.5715560821354,16.5277877459931,8_22:02,23.7,0.0483676488,0.1081533507,631654.41679663,False
2023 RF1,21,2454345.500710334,2007-Sep-02 00:01,0.0476268298394143,0.0429294691712643,0.0523258870907964,5.15631715990995,5.14545593773389,09:12,25.86,0.0178877195,0.0399981568,20404697.08404112,False
2007 RY8,11,2454346.176398784,2007-Sep-02 16:14,0.0291180847206078,0.0284368665020299,0.0297992762044421,14.7592354035547,14.7530341864291,00:02,25.2,0.0242412481,0.0542050786,6333903.669358757,False
2007 RF1,9,2454346.329035389,2007-Sep-02 19:54,0.0219585579497674,0.0218681744256677,0.0220489308583523,4.10714669077893,4.07749572616862,00:05,26.1,0.0160160338,0.0358129403,1386040.586677617,False
2007 RG1,12,2454347.439701884,2007-Sep-03 22:33,0.0487145056713377,0.048625718437685,0.0488032912684833,4.66128969371612,4.64954083637146,< 00:01,25.8,0.0183888672,0.0411187571,7287586.290822859,False
2007 RS1,8,2454348.554719322,2007-Sep-05 01:19,0.0004916840593532,0.0004909675673625,0.0004924004070014,12.1465852167136,11.6919355030478,< 00:01,30.9,0.0017561232,0.0039268108,73062188.8654478,False
2007 RU19,7,2454349.759257608,2007-Sep-06 06:13,0.0183953487228442,0.0182587669762452,0.018531913490831,5.95686890567742,5.93250340161032,00:04,26.6,0.0127219879,0.0284472297,36189236.14028061,False
2007 RS146,13,2454349.948930741,2007-Sep-06 10:46,0.0244550723732916,0.0244537932428167,0.024456351504331,14.6039283281395,14.5964658222581,< 00:01,23.35,0.0568270323,0.1270691073,286091667.69337755,False
2007 RV12,11,2454350.544520904,2007-Sep-07 01:04,0.0147565007534195,0.0146829713758067,0.014830022222488,5.73386562262402,5.70228803228331,< 00:01,25.6,0.0201629919,0.0450858206,2207541.088333296,False
2007 RR17,27,2454351.579622856,2007-Sep-08 01:55,0.018981615441727,0.0189815259169814,0.0189817049664878,6.92759757696296,6.9073051930292,< 00:01,23.78,0.0466181437,0.1042413384,5998888.20040617,False
2007 RP15,14,2454352.976033458,2007-Sep-09 11:25,0.0340213022480067,0.0333922891932236,0.0346503016074169,16.354798128925,16.3500087430357,< 00:01,22.8,0.0732073989,0.1636967205,22320515.519171327,False
2007 RQ12,10,2454354.718956169,2007-Sep-11 05:15,0.0362371119732762,0.0360819622660917,0.0363922597736016,10.1087516527034,10.1014752356099,< 00:01,23.6,0.0506471459,0.1132504611,1023856.304479229,False
2014 KS76,18,2454354.991535198,2007-Sep-11 11:48,0.0286317599823359,0.028600239936467,0.0286632929394832,6.63279645135191,6.61875125861508,00:01,26.62,0.012605352,0.0281864239,36913129.61176184,False
2007 RO133,8,2454356.760284871,2007-Sep-13 06:15,0.0239721059792455,0.0234571217522733,0.0244870362455982,9.54552345740329,9.53387223349404,< 00:01,24.9,0.0278326768,0.0622357573,3586175.99701422,False
2007 SH,10,2454358.236981911,2007-Sep-14 17:41,0.0133312657280714,0.0131932732760215,0.0134692508136224,12.3649874735282,12.3488129523813,< 00:01,26.2,0.0152951935,0.0342010925,1994328.953124059,False
2007 RJ1,18,2454360.090151979,2007-Sep-16 14:10,0.0065216431369149,0.0065058764008577,0.0065374092317689,9.8233868899375,9.78170797791429,< 00:01,25.2,0.0242412481,0.0542050786,139420.42770816,False
2007 SN6,10,2454360.379846469,2007-Sep-16 21:07,0.0126775906775151,0.012552957031389,0.0128022211900445,18.1091174951955,18.097507886596,< 00:01,25.2,0.0242412481,0.0542050786,1896540.565451809,False
2007 SO6,9,2454362.625033872,2007-Sep-19 03:00,0.0275353891235905,0.027414905568634,0.0276558694440588,7.98621590550799,7.97409011893301,< 00:01,25.2,0.0242412481,0.0542050786,12627235.438947147,False
2007 RN133,9,2454363.293051,2007-Sep-19 19:02,0.0331853472991667,0.032885935397561,0.0334847568530961,19.2162437279939,19.2120649941129,< 00:01,25.2,0.0242412481,0.0542050786,4964457.271290251,False
2007 RW19,15,2454364.149285903,2007-Sep-20 15:35,0.0278484023235933,0.0277226552355815,0.0279741475435134,10.8014899342787,10.7926284475777,< 00:01,24.7,0.0305179233,0.0682401509,48014511.95526573,False
2007 RC20,7,2454364.395224007,2007-Sep-20 21:29,0.0132290283030892,0.0108855654858954,0.0155734364800525,5.19868528927678,5.15979705029816,08:27,26.6,0.0127219879,0.0284472297,1979034.455849721,False
2007 SV1,12,2454365.276883936,2007-Sep-21 18:39,0.0413942580320013,0.0410631695765124,0.0417253322295851,6.91879220401193,6.90948253479053,< 00:01,24.7,0.0305179233,0.0682401509,22022021.21366419,False
2007 SS1,19,2454365.929681928,2007-Sep-22 10:19,0.046652831781098,0.0466434722443487,0.0466621913086213,6.75188915882872,6.74342504799116,< 00:01,23.6,0.0506471459,0.1132504611,11702776.162996065,False
2020 SW6,3,2454365.948120888,2007-Sep-22 10:45,0.022962597367665,0.0062227649417513,0.040027236169985,2.29647503026449,2.24537887995464,8_12:41,28.8,0.0046190746,0.0103285648,29256428.97725199,False
2007 RF2,23,2454368.076797115,2007-Sep-24 13:51,0.03201290595089,0.0320126527709416,0.0320131591308565,20.6626005671012,20.6585720555226,< 00:01,20.7,0.1925550782,0.4305662442,11269405.420202648,True
2022 SW20,2,2454368.124208113,2007-Sep-24 14:59,0.0262716082873645,0.0039167249594388,0.0766839590057721,13.8505514558627,13.8432270318417,3_01:22,26.48,0.0134448195,0.0300635304,25892435.39268667,False
2007 TD,12,2454368.940210157,2007-Sep-25 10:34,0.0137686512844576,0.0136994936614303,0.0138378068448459,11.2829751308564,11.265810763977,00:04,24.4,0.0350392641,0.0783501764,73510286.92015125,False
2007 SU1,11,2454369.602728752,2007-Sep-26 02:28,0.0151887169888674,0.0151502770033768,0.0152271560932914,8.82169906878079,8.80179099027742,< 00:01,25.5,0.0211132445,0.0472106499,253300661.3133217,False
312070,57,2454369.83442166,2007-Sep-26 08:02,0.0316295289786623,0.0316291430002224,0.0316299149584129,18.6553305519406,18.650814392618,< 00:01,19.41,,,,
2007 TB14,14,2454375.009211461,2007-Oct-01 12:13,0.0243567080796726,0.0242620771331538,0.0244513380864466,13.088854845881,13.0804943730723,00:01,24.4,0.0350392641,0.0783501764,3643711.651971747,False
2007 TH3,15,2454375.275557869,2007-Oct-01 18:37,0.0153889414503808,0.0153683733780399,0.0154095089694912,5.85787630998441,5.82824415432843,< 00:01,24.7,0.0305179233,0.0682401509,36110337.23629666,False
2007 TD1,12,2454375.674806859,2007-Oct-02 04:12,0.0486507516703509,0.0484901907519283,0.0488113100347771,6.72781278891759,6.7196673988869,< 00:01,25.4,0.022108281,0.0494356193,7278048.828218879,False
2002 TA67,12,2454375.709630847,2007-Oct-02 05:02,0.0433555517981625,0.0275347893894722,0.253625951245984,18.3177269158233,18.3143715812159,7_03:04,22.8,0.0732073989,0.1636967205,17964412.63186755,False
2007 TL5,8,2454375.834502305,2007-Oct-02 08:02,0.0338139310147742,0.0330580681915209,0.0345697778852902,18.0522133041342,18.0478477562752,00:14,25.9,0.0175612318,0.0392681082,51524396.77852669,False
2007 TL23,27,2454376.000055637,2007-Oct-02 12:00,0.0343697085162663,0.0343690196319711,0.0343703974021576,24.4454003704876,24.4422288499606,< 00:01,21.48,0.1344481952,0.3006353038,5609151.311626496,True
613862,77,2454376.06287456,2007-Oct-02 13:31,0.0459071714807926,0.0459069895760595,0.0459073533855414,6.81799770600031,6.80947953504142,< 00:01,23.1,,,,
2007 TE15,9,2454376.273997261,2007-Oct-02 18:35,0.0405341200952453,0.039608040836215,0.0414601668018736,13.1074131783488,13.1023971760824,< 00:01,25.5,0.0211132445,0.0472106499,6063818.029284187,False
2007 SG11,24,2454377.208298125,2007-Oct-03 17:00,0.0396881907679144,0.039687917057189,0.0396884644786465,5.49793885702799,5.48571426872588,< 00:01,22.68,0.077366861,0.1729975604,53739932.04791748,False
2007 TL16,15,2454379.385637365,2007-Oct-05 21:15,0.0041709163925859,0.0041558185073012,0.0041860132914443,11.3851526815854,11.3289035046017,00:01,26.2,0.0152951935,0.0342010925,57429822.52782719,False
2023 TR1,2,2454381.262144892,2007-Oct-07 18:17,0.0170194169896251,0.0009482612747684,0.0994732245725731,19.3151410844878,19.3070340700878,3_16:50,29.84,0.0028612445,0.0063979373,56148618.36319071,False
2007 TH72,17,2454383.808905777,2007-Oct-10 07:25,0.0079979378746128,0.0079529685188445,0.008042906217446,17.6018923887556,17.5829554991106,00:02,24.2,0.0384197891,0.0859092601,1341287.082365648,False
2007 TX22,8,2454385.936652924,2007-Oct-12 10:29,0.0009688399797363,0.0009426081786513,0.0009951597492813,9.25728892137462,8.95528048080896,00:44,28.4,0.0055533491,0.0124176661,14047966.918969903,False
2007 TU68,10,2454389.768850043,2007-Oct-16 06:27,0.0341869965647529,0.0338383933225303,0.0345355806153308,7.60760687917325,7.59735517504803,< 00:01,25.7,0.0192555078,0.0430566244,5114301.873057242,False
2007 UJ,8,2454390.194114801,2007-Oct-16 16:40,0.0215950635342619,0.0214796331628453,0.0217104918918792,12.2831796933279,12.273130649207,00:06,25.2,0.0242412481,0.0542050786,30380411.031403713,False
2007 VE3,20,2454390.366231692,2007-Oct-16 20:47,0.0391468119247893,0.0391456343621878,0.0391479894932053,18.3190650278266,18.315349190427,< 00:01,23.1,0.063760979,0.1425738833,2608442.406311922,False
2007 UO6,7,2454391.11940795,2007-Oct-17 14:52,0.0024540845481506,0.0023799147665697,0.0025281886244378,11.9411702890772,11.8498980115352,00:20,27.3,0.0092162655,0.0206081961,134919.581311979,False
2007 TR68,8,2454391.121606659,2007-Oct-17 14:55,0.0272497890713927,0.0270686937300854,0.0274308775629512,8.25932507505312,8.24747786084405,< 00:01,25.9,0.0175612318,0.0392681082,50187938.83508294,False
2007 UN12,22,2454391.14315335,2007-Oct-17 15:26,0.0004657298281522,0.0004657083741721,0.0004657512831794,3.73292392926056,1.57878232194872,< 00:01,28.7,0.0048367649,0.0108153351,3111843.33784356,False
2007 TZ68,7,2454391.211417085,2007-Oct-17 17:04,0.01341524533729,0.0131983305735509,0.0136321164054864,7.78734939065965,7.76180256022406,< 00:01,28.3,0.0058150704,0.0130028927,44416675.43259606,False
2007 VU6,9,2454391.301630108,2007-Oct-17 19:14,0.0447403167831623,0.0444468147883432,0.04503372159753,2.18824911776207,2.16086222435548,00:14,26.59,0.0127807099,0.0285785361,62746332.92460497,False
2007 TT18,13,2454391.394829175,2007-Oct-17 21:29,0.037441445531308,0.0371152149491205,0.0377676726064832,15.1888643210271,15.1841783300831,< 00:01,23.0,0.0667659413,0.1492931834,5601160.496521085,False
2007 TC14,17,2454391.851357599,2007-Oct-18 08:26,0.0300315959365244,0.0298646372608609,0.0301985541347841,26.2463524177314,26.242971824179,< 00:01,22.1,0.1010543415,0.2259643771,4492662.779340733,False
2007 UD6,11,2454392.308113281,2007-Oct-18 19:24,0.0012831068783142,0.0012816471039589,0.0012845663577596,6.35620144687113,6.02064187935319,< 00:01,28.3,0.0058150704,0.0130028927,67423150.72679506,False
2007 TW24,8,2454392.362446632,2007-Oct-18 20:42,0.0076770266734138,0.0071776949835066,0.0081760480783546,12.083538625503,12.0547817129713,00:03,26.1,0.0160160338,0.0358129403,1224397.515059253,False
2007 TH71,9,2454392.386436976,2007-Oct-18 21:16,0.0121650863160118,0.0120943840134746,0.012235782131501,7.44100872731133,7.41151518765383,< 00:01,26.5,0.0133215567,0.0297879063,10880922.999321649,False
2007 TT24,7,2454392.423956,2007-Oct-18 22:10,0.0415896986457287,0.0395613621637132,0.0436658032276538,3.28837821492137,3.26883765077189,3_20:15,27.0,0.0105816886,0.023661375,6221730.324501982,False
2007 TU18,15,2454392.961925555,2007-Oct-19 11:05,0.0368951984629361,0.0367296102994401,0.0370607834890269,8.29288422081878,8.28417127305473,< 00:01,25.0,0.02658,0.0594346868,38988838.68418187,False
